Title,url,company,location,status,date_posted,text
"
            
        Data Engineer
      
          ",https://es.linkedin.com/jobs/view/data-engineer-at-arelance-3707148227?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=Tf5DPid0uGHSwxAidtpp5A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Arelance
          ","
            Madrid, Community of Madrid, Spain
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      5 days ago
  
          ","En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes y en ofrecer a nuestros candidatos los mejores proyectos.




En este momento buscamos profesionales con experiencia en desarrollo Python/PySpark




¿Qué buscamos en ti?




Al menos un año de experiencia en desarrollo y mantenimiento de procesos en Pyspark
Desarrollo y mantenimiento de procesos ETLs
Experiencia con Spark PySpark Hive Hadoop HDFS SQL




¿Qué ofrecemos?




Incorporación en un proyecto estable
Contrato indefinido
Acceso a formación
Modalidad de trabajo remoto




Si tienes interés en una gran oportunidad como ésta ¡inscríbete! ¡Queremos conocerte!




data, Python, Spark, PySpark, Hive, Hadoop, HDFS, SQL




cc2c1d42b28fe3c8f643


"
"
            
        Data Engineer (m/w/d)
      
          ",https://de.linkedin.com/jobs/view/data-engineer-m-w-d-at-machtfit-gmbh-3708677088?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=19Sgw0x2tSDhYAZDwwfuWw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            machtfit GmbH
          ","
            Germany
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 day ago
  
          ","Wir suchen zum nächstmöglichen Zeitpunkt zur Erweiterung unseres Data Teams einen weiteren Data Engineer.




We are looking to expand our Data Team with an additional Data Engineer who can start as soon as possible.




Aufgaben




Du pflegst und erweiterst unsere Datenpipelines und unser Datawarehouse
Du liebst es, Datenprodukte in Zusammenarbeit mit Datenanalysten und Data Scientists zu entwerfen, zu entwickeln und zu pflegen
Du integrierst neue Datenquellen und restrukturierst unsere aktuellen Datenpipelines, um die Performance und Skalierbarkeit zu verbessern
Du arbeitest mit unseren Data Engineers zusammen, um ein Data Monitoring zu entwickeln, um die Zuverlässigkeit und Qualität unserer Daten zu verbessern
Du arbeitest mit unseren Data Scientists zusammen, um eine Recommendation Engine, die wir von Grund auf neu erstellen, zu erweitern und zu skalieren
You will maintain and expand our data pipelines and our data warehouse
You love to design, develop and maintain data products in collaboration with Data Analysts and Data Scientists
You will Integrate new data sources and restructure our current data pipelines to improve performance and scalability
You will collaborate with our Data Engineers to develop a Data Monitoring system to improve the reliability and quality of our data
You will collaborate with our Data Scientists to expand and scale a Recommendation Engine that we are building from scratch




Qualifikation




3-4 Jahre Erfahrung im Aufbau und der Pflege von Data Warehouses und der Durchführung von Data Modeling
Sehr starke SQL- und Python-Kenntnisse (unser aktueller ETL-Stack besteht aus SQL-Skripten, die von mara-etl ausgeführt werden - einem Python-basierten ETL-Framework)
Du arbeitest gerne im Team und führst Projekte in fokussierten, inkrementellen Schritten durch
fließend Englisch und Deutsch (~B2 für beide ist ausreichend)
3-4 years experience building and maintaining data warehouses and performing data modeling
Very strong SQL and Python skills (our current ETL stack consists of SQL scripts executed by mara-etl, a lightweight Python-based ETL framework)
You enjoy working in a team, and completing projects in focused, incremental steps
Reasonably fluent in English and German (~B2 for both is acceptable)




Benefits




Gesundheit – Wir leben unser Produkt. Daher stellen wir dir ein jährliches Budget für Gesundheitskurse sowie -equipment zur Verfügung
Work-Life-Balance – Du erhältst einen unbefristetet Arbeitsvertrag, 28 Tage Urlaub p.a. + 1 Tag für ehrenamtliche Tätigkeiten, flexible Arbeitszeiten. Ein selbst bestimmtes Hybrid-Arbeitsmodell (remote oder Office) bieten dir die Möglichkeit, einen Ausgleich zwischen Berufs- und Privatleben zu schaffen
Teamspirit – Unser passioniertes Team freut sich schon auf dich. Durch regelmäßige Teamevents stärken wir unsere Bindung und Zusammenarbeit
Health - We are living our product. That is why we offer you a budget to be used for health and fitness courses as well as equipment
Work-Life-Balance - You receive an unlimited contract, 28 days of vacation plus 1 day for community service and flexible working hours. An individual working modell (remote or at the office) offers you the opportunity to find a balance between working and private life.
Team Spirit - Our passionate team is eager to meet you. We strengthen our bond and cooperation through regular team events."
"
            
        Junior Data Engineer (initiativ)
      
          ",https://at.linkedin.com/jobs/view/junior-data-engineer-initiativ-at-talentbase-tech-3710418137?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=ywdwN1g7beSle2kbPIMuGw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            talentbase.tech
          ","
            Austria
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 day ago
  
          ","Dies ist eine INITIATIVBEWERBUNG! Bewirb dich jetzt über talentbase .tech ...




und wähle bis zu 35 Partner-Unternehmen aus, an welche wir dein Profil für eine DATA ENGINEER Stelle weiterleiten.




Aufgaben




Datenextraktion, Transformation und Laden (ETL) von verschiedenen Datenquellen.
Unterstützung bei der Entwicklung und Pflege von Datenpipelines.
Datenspeicherung und -verwaltung in Datenbanken oder Data Warehouses.
Mitarbeit bei der Datentransformation und -bereinigung.
Überwachung und Wartung von Datenverarbeitungsprozessen.





Qualifikation




Programmierkenntnisse in Sprachen wie Python, Java oder Scala
Verständnis der grundlegenden Datenbankkonzepte und -technologien
Erfahrung mit Big-Data-Frameworks wie Hadoop oder Spark
Kenntnisse in der Datenmodellierung und ETL-Prozessen
Vertrautheit mit SQL und grundlegendes Verständnis von NoSQL-Datenbanken
Problemlösungsfähigkeiten und analytisches Denkvermögen
Teamfähigkeit und die Fähigkeit, effektiv in einem dynamischen Umfeld zu arbeiten
Aufmerksamkeit für Detail und Genauigkeit bei der Datenverarbeitung
Grundlegende Kenntnisse in der Arbeit mit Cloud-Plattformen wie AWS, GCP oder Azure





Dies ist eine Stelle von talentbase .tech!




Profil erstellen und Daten ausfüllen
Coole Unternehmen finden
Mit 1-Klick auf deine Traumrolle bewerben.





Achtung: 1-Klick Initiativbewerbungen sind momentan nur für Österreichische und EU-Staatsbürger:innen, sowie Personen mit Sitz in Österreich verfügbar."
"
            
        Data Analyst
      
          ",https://it.linkedin.com/jobs/view/data-analyst-at-unobravo-servizio-di-psicologia-online-3706414619?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=RGG5rFntyxdcYDbJQ1yYHQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Unobravo | Servizio di psicologia online
          ","
            Milan, Lombardy, Italy
          ",,"
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 days ago
  
          ","Are you passionate about revolutionizing the field of psychology?




Unobravo is leading the way in Italy with their innovative e-mental care startup, and has provided exceptional online psychotherapy services to over 113,000 people and conducted over 1,6 million therapy sessions with a team of 3,500 therapists.




If you have a ""think-outside-the-box"" mentality and believe in the power of teamwork to generate exceptional ideas, Unobravo is the ideal company for you to unleash your potential.




We are seeking a highly skilled Data Analyst obsessed with data quality to join our data team.




You show:




3+ years experience as a Data Analyst or similar role.
Strong programming skills in SQL, and other relevant languages.
Experience in the application of descriptive statistics.
Familiarity with Data Visualization tools (Tableau, PowerBI, Quicksight etc.).
Basic knowledge of Python or other scripting language.
Good knowledge of relational and non-relational databases.
Familiarity with Agile methodology - Scrum.
Excellent problem-solving skills and attention to detail.
Strong communication and collaboration skills.
Flexibility and precision.
Availability to work in full remote.




Preferred experience include:




Degree in Mathematics, Physics or other quantitative field.
Curiosity towards the evolutions in the Data field, resourcefulness.




As Data Analyst, you will:




Liasing with other teams to formalize requirements and providing an analytical point of view.
Performing statistical analysis on the available data.
Coming up with the best way to present data to stakeholders.
Providing business insights on the statistical output.
Encroaching into data engineering (ETL, maintain and improve the DWH, setup automatic jobs) tasks if necessary.
Dialogue with the various Unobravo teams to fine-tune both punctual and continuous analyses.
Introducing processes, tools and methodologies in the data use cycle.
Create and review high business value dashboards.
Monitor the quality of the data presented to the end user.
Propose new KPIs for performance monitoring.




Benefit:




100% flexibility & full smart working
A stimulating and growing work environment
Focus on work-life balance
Free online yoga and fitness classes
Discount on psychotherapy sessions




Are you the Unobravo we are looking for? Apply today!"
"
            
        Junior Big Data Engineer (initiativ)
      
          ",https://at.linkedin.com/jobs/view/junior-big-data-engineer-initiativ-at-talentbase-tech-3711026916?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=uwjnDprxXalAV0EULOKEIw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            talentbase.tech
          ","
            Austria
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      4 hours ago
  
          ","Dies ist eine INITIATIVBEWERBUNG! Bewirb dich jetzt über talentbase .tech ...




und wähle bis zu 9 Partner-Unternehmen aus, an welche wir dein Profil für eine BIG DATA ENGINEER Stelle weiterleiten.




Aufgaben




Unterstützung bei der Entwicklung und Implementierung von Datenverarbeitungs-Pipelines.
Datenaufbereitung und Transformation für Analysen.
Mitwirkung an der Wartung und Optimierung von Big-Data-Infrastrukturen.
Zusammenarbeit mit Teammitgliedern bei der Datenmodellierung und -integration.
Unterstützung bei der Fehlerbehebung und kontinuierlichen Verbesserung der Datenverarbeitungsprozesse.





Qualifikation




Programmierkenntnisse in Sprachen wie Python, Java oder Scala.
Grundlegendes Verständnis des Hadoop-Ökosystems.
Kenntnisse im Datenbankmanagement und in SQL.
Erfahrung mit Datenmodellierung und ETL-Prozessen.
Vertrautheit mit Cloud-Plattformen wie AWS, GCP oder Azure.
Analytisches Denkvermögen und Problemlösungsfähigkeiten.
Teamfähigkeit und die Fähigkeit, effektiv zu kommunizieren.
Motivation zur Weiterbildung und Interesse an neuen Technologien.





Dies ist eine Stelle von talentbase .tech!




Profil erstellen und Daten ausfüllen
Coole Unternehmen finden
Mit 1-Klick auf deine Traumrolle bewerben.





Achtung: 1-Klick Initiativbewerbungen sind momentan nur für Österreichische und EU-Staatsbürger:innen, sowie Personen mit Sitz in Österreich verfügbar."
"
            
        Data Analyst
      
          ",https://pt.linkedin.com/jobs/view/data-analyst-at-barkyn-3710881305?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=WRaI4l5AX%2F7EpeqlvK3WCQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Barkyn
          ","
            Portugal
          ",,"
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 day ago
  
          ","BARKYN’S VISION




Barkyn delivers health and happiness to pet families around the world.




We are an ambitious, forward thinking startup on a big mission! We’re not only changing the pet market, we’re also reshaping the way the e-commerce experience should feel - human, personalized, seamless, & beautiful. We were considered one of Europe’s Top 100 Startups by Wired, Top Startup by Linkedin, and a success case by Web Summit and the British magazine Monocle.




THE ROLE




We're creating a loved brand in Europe and this is where your story starts!




As a Data Analyst, you will play a vital role in our organization, immersing yourself in data to uncover opportunities for improving our current and future Key Performance Indicators (KPIs). Working closely with the product, marketing, and operational teams, you will provide valuable insights to drive business growth. Your responsibilities will include developing customized data studio reporting, creating and supporting analytical models, and delivering meaningful information to stakeholders through SQL and business intelligence (BI) tools.




Specifically, we expect you to:




Dive deep into data to identify areas for improvement in our KPIs.
Collaborate closely with product, marketing, and operational teams to deliver valuable insights.
Develop customized data studio reporting for various business areas.
Generate custom reports using SQL and BI tools to provide actionable information to stakeholders.
Create and support analytical models to gain insights into customer behavior.





Mandatory requirements:




Bachelor's degree in Engineering, Mathematics, Statistics, or a related field.
2+ years of relevant experience as a Business Analyst or Data Analyst.
Proficiency in SQL.
Experience using data visualization tools such as Data Studio, Looker, PowerBI, Tableau, or similar.
Passion for generating data-driven insights.
Fluency in written and spoken English.





Brownie Points:




Knowledge of statistical programming languages like R and/or Python.
Startup Environment Experience.
Dog Owner.
"
"
            
        Software Engineer (Data)
      
          ",https://pt.linkedin.com/jobs/view/software-engineer-data-at-revolut-3642770162?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=Uyl9y7keEXSAyCAxQCNb1g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Revolut
          ","
            Portugal
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      3 days ago
  
          ","About Revolut

People deserve more from their money. More visibility, more control, more freedom. And since 2015, Revolut has been on a mission to deliver just that. With an arsenal of aweso﻿me products that span spending, saving, travel, transfers, investing, exchanging and more, our super app has helped 30+ million customers get more from their money. And we're not done yet.

As we continue our lightning-fast growth, we believe that two things are essential to continuing our success: our people and our culture. So far, we have 6000+ people working around the world, from our great offices or remotely, on our mission. And we're looking for more. We want brilliant people that love building great products, love redefining success, and love t﻿urning the complexity of a chaotic world into the simplicity of a beautiful solution.﻿

About The Role

The thing we pride ourselves on at Revolut is how truly data-driven every department of the company is. Data platform engineers are the enablers of this data obsessed culture, providing the infrastructure and tools that power insight generation and decision making for everyone from rank analysts to C-level executives.

In order to tame the exponential growth in size of data and the related complexity, we are looking for the most talented and passionate engineers — great builders and great collaborators.

Think you have what it takes? Let's get in touch 👇

What You’ll Be Doing

Thinking in systems and exploring opportunities to improve and streamline end-to-end processes by transforming abstract concepts into working solutions
Partnering with product owners, engineers, data scientists, and data analysts to develop a seamless data platform
Designing, building, and launching extremely efficient and reliable data infrastructure to move data across a number of platforms including Data Lake and Data Warehouse
Communicating, at scale, through multiple mediums, like dashboards, bots and more
Leveraging data and business principles to solve large scale web, mobile, and data infrastructure problems
Ensuring consistent standards and quality in the data platform ecosystem
Supporting and training new and existing users of the platform
Creating and maintaining a company-wide data registry and documentation
Coming up with and enforcing best practices for coding, testing, deployment, and maintenance
Planning and implementing complex platform changes that involve stakeholders across the whole organisation
Automating and simplifying existing processes to ease life of fellow engineers


What You'll Need

A Bachelor's or Master's in Computer Science or related field (or equivalent industry experience)
Fluency in Python, SQL, Unix Shell
Experience applying agile software development technical practices (TDD, refactoring, CI/CD, XP)
Experience in custom ETL design, implementation, and maintenance
Experience with workflow orchestrators, such as Airflow
Experience working with Big Data/MPP analytics platform (i.e. Exasol, Amazon Redshift, Google BigQuery, or similar)


Nice to have

Experience building large-scale infrastructure applications
The ability to write easily understandable and maintainable code in multiple programming languages
Experience with commercial cloud providers (e.g. GCP, AWS)
Experience setting up infrastructure as code using Docker, Kubernetes, Terraform, Helm
Awareness of data quality aspects in data warehousing systems
Experience with SQL performance tuning
Experience with notebook-based data science workflow
Experience building data platforms using Spark, Trino/Presto, Flink, Hive, or similar
Experience with monitoring and logging tools NewRelic, Grafana, Prometheus, ELK
Experience implementing data mesh principles


Building a global financial super app isn’t enough. Our Revoluters are a priority, and that’s why in 2021 we launched our inaugural D&I Framework, designed to help us thrive and grow everyday. We're not just doing this because it's the right thing to do. We’re doing it because we know that seeking out diverse talent and creating an inclusive workplace is the way to create exceptional, innovative products and services for our customers. That’s why we encourage applications from people with diverse backgrounds and experiences to join this multicultural, hard-working team.

Refer to our Data Privacy Statement for Candidates: https://www.revolut.com/legal/data-privacy-for-candidates for details on our data handling practices during your application.

"
"
            
        Software Engineer (Data)
      
          ",https://ro.linkedin.com/jobs/view/software-engineer-data-at-revolut-3642771053?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=KEe5czzAJ645d0T%2BoCZRBA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Revolut
          ","
            Romania
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      3 days ago
  
          ","About Revolut

People deserve more from their money. More visibility, more control, more freedom. And since 2015, Revolut has been on a mission to deliver just that. With an arsenal of aweso﻿me products that span spending, saving, travel, transfers, investing, exchanging and more, our super app has helped 30+ million customers get more from their money. And we're not done yet.

As we continue our lightning-fast growth, we believe that two things are essential to continuing our success: our people and our culture. So far, we have 6000+ people working around the world, from our great offices or remotely, on our mission. And we're looking for more. We want brilliant people that love building great products, love redefining success, and love t﻿urning the complexity of a chaotic world into the simplicity of a beautiful solution.﻿

About The Role

The thing we pride ourselves on at Revolut is how truly data-driven every department of the company is. Data platform engineers are the enablers of this data obsessed culture, providing the infrastructure and tools that power insight generation and decision making for everyone from rank analysts to C-level executives.

In order to tame the exponential growth in size of data and the related complexity, we are looking for the most talented and passionate engineers — great builders and great collaborators.

Think you have what it takes? Let's get in touch 👇

What You’ll Be Doing

Thinking in systems and exploring opportunities to improve and streamline end-to-end processes by transforming abstract concepts into working solutions
Partnering with product owners, engineers, data scientists, and data analysts to develop a seamless data platform
Designing, building, and launching extremely efficient and reliable data infrastructure to move data across a number of platforms including Data Lake and Data Warehouse
Communicating, at scale, through multiple mediums, like dashboards, bots and more
Leveraging data and business principles to solve large scale web, mobile, and data infrastructure problems
Ensuring consistent standards and quality in the data platform ecosystem
Supporting and training new and existing users of the platform
Creating and maintaining a company-wide data registry and documentation
Coming up with and enforcing best practices for coding, testing, deployment, and maintenance
Planning and implementing complex platform changes that involve stakeholders across the whole organisation
Automating and simplifying existing processes to ease life of fellow engineers


What You'll Need

A Bachelor's or Master's in Computer Science or related field (or equivalent industry experience)
Fluency in Python, SQL, Unix Shell
Experience applying agile software development technical practices (TDD, refactoring, CI/CD, XP)
Experience in custom ETL design, implementation, and maintenance
Experience with workflow orchestrators, such as Airflow
Experience working with Big Data/MPP analytics platform (i.e. Exasol, Amazon Redshift, Google BigQuery, or similar)


Nice to have

Experience building large-scale infrastructure applications
The ability to write easily understandable and maintainable code in multiple programming languages
Experience with commercial cloud providers (e.g. GCP, AWS)
Experience setting up infrastructure as code using Docker, Kubernetes, Terraform, Helm
Awareness of data quality aspects in data warehousing systems
Experience with SQL performance tuning
Experience with notebook-based data science workflow
Experience building data platforms using Spark, Trino/Presto, Flink, Hive, or similar
Experience with monitoring and logging tools NewRelic, Grafana, Prometheus, ELK
Experience implementing data mesh principles


Building a global financial super app isn’t enough. Our Revoluters are a priority, and that’s why in 2021 we launched our inaugural D&I Framework, designed to help us thrive and grow everyday. We're not just doing this because it's the right thing to do. We’re doing it because we know that seeking out diverse talent and creating an inclusive workplace is the way to create exceptional, innovative products and services for our customers. That’s why we encourage applications from people with diverse backgrounds and experiences to join this multicultural, hard-working team.

Refer to our Data Privacy Statement for Candidates: https://www.revolut.com/legal/data-privacy-for-candidates for details on our data handling practices during your application.

"
"
            
        Data Engineer (Remote In Spain Possible)
      
          ",,,"
            Valencia, Valencian Community, Spain
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      4 days ago
  
          ",
"
            
        Software Engineer (Data)
      
          ",https://es.linkedin.com/jobs/view/software-engineer-data-at-revolut-3642771055?refId=uZlEaMNZ%2Fyyj9mbQDufCFw%3D%3D&trackingId=o9EoeZlDI6aNIoBMVcHpsw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Revolut
          ","
            Spain
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      3 days ago
  
          ","About Revolut

People deserve more from their money. More visibility, more control, more freedom. And since 2015, Revolut has been on a mission to deliver just that. With an arsenal of aweso﻿me products that span spending, saving, travel, transfers, investing, exchanging and more, our super app has helped 30+ million customers get more from their money. And we're not done yet.

As we continue our lightning-fast growth, we believe that two things are essential to continuing our success: our people and our culture. So far, we have 6000+ people working around the world, from our great offices or remotely, on our mission. And we're looking for more. We want brilliant people that love building great products, love redefining success, and love t﻿urning the complexity of a chaotic world into the simplicity of a beautiful solution.﻿

About The Role

The thing we pride ourselves on at Revolut is how truly data-driven every department of the company is. Data platform engineers are the enablers of this data obsessed culture, providing the infrastructure and tools that power insight generation and decision making for everyone from rank analysts to C-level executives.

In order to tame the exponential growth in size of data and the related complexity, we are looking for the most talented and passionate engineers — great builders and great collaborators.

Think you have what it takes? Let's get in touch 👇

What You’ll Be Doing

Thinking in systems and exploring opportunities to improve and streamline end-to-end processes by transforming abstract concepts into working solutions
Partnering with product owners, engineers, data scientists, and data analysts to develop a seamless data platform
Designing, building, and launching extremely efficient and reliable data infrastructure to move data across a number of platforms including Data Lake and Data Warehouse
Communicating, at scale, through multiple mediums, like dashboards, bots and more
Leveraging data and business principles to solve large scale web, mobile, and data infrastructure problems
Ensuring consistent standards and quality in the data platform ecosystem
Supporting and training new and existing users of the platform
Creating and maintaining a company-wide data registry and documentation
Coming up with and enforcing best practices for coding, testing, deployment, and maintenance
Planning and implementing complex platform changes that involve stakeholders across the whole organisation
Automating and simplifying existing processes to ease life of fellow engineers


What You'll Need

A Bachelor's or Master's in Computer Science or related field (or equivalent industry experience)
Fluency in Python, SQL, Unix Shell
Experience applying agile software development technical practices (TDD, refactoring, CI/CD, XP)
Experience in custom ETL design, implementation, and maintenance
Experience with workflow orchestrators, such as Airflow
Experience working with Big Data/MPP analytics platform (i.e. Exasol, Amazon Redshift, Google BigQuery, or similar)


Nice to have

Experience building large-scale infrastructure applications
The ability to write easily understandable and maintainable code in multiple programming languages
Experience with commercial cloud providers (e.g. GCP, AWS)
Experience setting up infrastructure as code using Docker, Kubernetes, Terraform, Helm
Awareness of data quality aspects in data warehousing systems
Experience with SQL performance tuning
Experience with notebook-based data science workflow
Experience building data platforms using Spark, Trino/Presto, Flink, Hive, or similar
Experience with monitoring and logging tools NewRelic, Grafana, Prometheus, ELK
Experience implementing data mesh principles


Building a global financial super app isn’t enough. Our Revoluters are a priority, and that’s why in 2021 we launched our inaugural D&I Framework, designed to help us thrive and grow everyday. We're not just doing this because it's the right thing to do. We’re doing it because we know that seeking out diverse talent and creating an inclusive workplace is the way to create exceptional, innovative products and services for our customers. That’s why we encourage applications from people with diverse backgrounds and experiences to join this multicultural, hard-working team.

Refer to our Data Privacy Statement for Candidates: https://www.revolut.com/legal/data-privacy-for-candidates for details on our data handling practices during your application.

"
