Title,url,company,location,status,date_posted,text
"
            
        Data Engineer
      
          ",https://es.linkedin.com/jobs/view/data-engineer-at-arelance-3707148227?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=%2F1IBf6DHxucypVjpvaFpcA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Arelance
          ","
            Madrid, Community of Madrid, Spain
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      4 days ago
  
          ","En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes y en ofrecer a nuestros candidatos los mejores proyectos.




En este momento buscamos profesionales con experiencia en desarrollo Python/PySpark




¿Qué buscamos en ti?




Al menos un año de experiencia en desarrollo y mantenimiento de procesos en Pyspark
Desarrollo y mantenimiento de procesos ETLs
Experiencia con Spark PySpark Hive Hadoop HDFS SQL




¿Qué ofrecemos?




Incorporación en un proyecto estable
Contrato indefinido
Acceso a formación
Modalidad de trabajo remoto




Si tienes interés en una gran oportunidad como ésta ¡inscríbete! ¡Queremos conocerte!




data, Python, Spark, PySpark, Hive, Hadoop, HDFS, SQL




cc2c1d42b28fe3c8f643


"
"
            
        Data Engineer - Malta
      
          ",https://mt.linkedin.com/jobs/view/data-engineer-malta-at-swish-analytics-3699073479?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=p4t3B9XMEYMq3wMLUTatrw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Swish Analytics
          ","
            Ta' Xbiex, Malta
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
          ","Company Overview




Swish Analytics is a sports analytics, betting and fantasy startup building the next generation of predictive sports analytics data products. We believe that oddsmaking is a challenge rooted in engineering, mathematics, and sports betting expertise; not intuition. We're looking for team-oriented individuals with an authentic passion for accurate and predictive real-time data who can execute in a fast-paced, creative, and continually-evolving environment without sacrificing technical excellence. Our challenges are unique, so we hope you are comfortable in uncharted territory and passionate about building systems to support products across a variety of industries and consumer/enterprise clients.




Job Description




The Swish Analytics team is seeking Data Engineers based in Europe to have a direct impact on the infrastructure and delivery of our core consumer and enterprise data offerings as well as helping support our coverage of non-US sports. We're a team passionate about accurate predictions and real-time data, and hope you find satisfaction in building new products with the latest and greatest technologies. This is a remote position.




Duties




Support production systems and help triage issues during live sporting events
Architect low-latency, real-time analytics systems including raw data collection, feature development and endpoint production
Build new sports betting data products and predictions offerings
Integrate large and complex real-time datasets into new consumer and enterprise products
Develop production-level predictive analytics into enterprise-grade APIs
Contribute to the design and implementation of new, fully-automated sports data delivery frameworks




Requirements




BS/BA degree in Mathematics, Computer Science, or related STEM field
Minimum of 2+ years of demonstrated experience writing production level code (Python)
Proficiency in Python and SQL (preferably MySQL) Demonstrated experience with Airflow
Demonstrated experience with Kubernetes
Experience building end-to-end ETL pipelines
Experience utilizing REST APIs
Experience with version control (git), continuous integration and deployment, shell scripting, and cloud-computing infrastructures (AWS)
Experience with web scraping and cleaning unstructured data
Knowledge of data science and machine learning concepts
A strong interest for sports and sports betting, with an emphasis on Tennis. An understanding of US-based sports including the NFL, NBA, MLB, NHL, College Football, College Basketball, and the ability use your knowledge of the sport to inform your work with complex datasets




Swish Analytics is an Equal Opportunity Employer. All candidates who meet the qualifications will be considered without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, pregnancy status, genetic, military, veteran status, marital status, or any other characteristic protected by law. The position responsibilities are not limited to the responsibilities outlined above and are subject to change. At the employer's discretion, this position may require successful completion of background and reference checks."
"
            
        Data Engineer ( Remote / Fulltime /  SaaS ) € 3.781 - € 5.633 per maand, Oldenzaal
      
          ",https://nl.linkedin.com/jobs/view/data-engineer-remote-fulltime-saas-%E2%82%AC-3-781-%E2%82%AC-5-633-per-maand-oldenzaal-at-wepublish-3699708557?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=5wR1oeZgj4hjFIJ9injW8A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            WePublish
          ","
            Oldenzaal, Overijssel, Netherlands
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
          ","Wat doet WePublish?

WePublish digitaliseert de reclamefolder markt. De afgelopen 5 jaar is WePublish dé plek voor de grootste retailers van Nederland (bijv. Action, HEMA, Blokker, GAMMA en ICI Paris XL) om hun reclamefolders te digitaliseren. Het gebruik van data uit reclamefolders is uitgegroeid tot een belangrijke bron van inzicht voor folder managers, maar ook promotie managers binnen retail organisaties. Inmiddels vergaard WePublish op grote schaal reclamefolder data. Zowel op de website van retailers als vanuit het eigen consumenten platform Folders.

Door onze slimme techniek die in onze eigen viewer is gebouwd, vergaren we bakken data over de eindgebruiker, weten we precies hoe een gebruiker door een online folder leest en zijn we in staat hier op in te spelen. We verwerven de data uit de online folders die gepubliceerd worden en vertalen dit door naar naar concrete adviezen aan onze klanten. Onze leesgedrag analyses, dashboards en rapporten geven een beeld over het gedrag van de eindgebruiker in de folder van de retailers. Als je wilt werken in een informele organisatie met veel vrijheid, dan passen we bij elkaar. Wij als organisatie willen zo flexibel mogelijk met elkaar omgaan, mits jij op de juiste momenten ook je verantwoordelijkheid pakt. Wij zijn een hecht team met een mooie balans tussen aanpakken en hard werken, en gezelligheid. Daarnaast bieden wij veel doorgroeimogelijkheden of kansen om het data team uit te breiden als klanten steeds meer data willen afnemen.

Wat ga jij als Data engineer bij WePublish precies doen?

Als Data Engineer zal je verantwoordelijk zijn voor het koppelen en ontsluiten van externe databronnen, de opslag van ongestructureerde data binnen het datalake (voor het verzamelen van de data) en interne / externe bronnen combineren. Samen met het team werk je op een Agile wijze en zal je gebruik gaan maken van de nieuwste Microsoft technieken. We zijn onlangs gemigreerd naar het Microsoft Azure cloudplatform, hebben een groot data lake en maken gebruik van Power BI als dashboarding tool. We zoeken iemand die het datalake en dienstverlening samen ontdekt, optimaliseert en nieuwe inzichten weet te vergaren. Dit doe je natuurlijk samen met het team.

Beschik je niet precies over onderstaande kennis maar heb je wel een aantal jaren ervaring als Data Engineer opgedaan, dan komen we ook graag met je in gesprek.

Functie-eisen

Wat vragen we van jou?

Je hebt minimaal HBO+ werk en denkniveau
Zelfstartende en hands-on mentaliteit
Ervaring als Data Engineer
Kennis van datawarehouses / databases (Microsoft SQL, MySQL) , het modelleren van data (Datavault/Kimball), Cloud technieken (Azure)
ETL tooling (bijv. Azure Data Factory)
Ervaring met SQL en NoSQL
Gewerkt met Visualisatie tooling (PowerBI / Tableau / Data Studio).
Wat hebben wij jou te bieden?
Een prima salaris afhankelijk van je werkervaring: Een salaris tussen de €3,781 en €5,633
Werkweek van 32 – 40 uur
Zelf in charge over je werktijden
25 vakantiedagen (mogelijkheid het het extra bijkopen van vakantiedagen, tot max 3 weken)
Je krijgt de vrijheid om met het team mee te denken en je te blijven ontwikkelen. Sterker nog: we denken daarin graag met je mee.
Je mag natuurlijk ook heel graag langs komen op ons kantoor in Oldenzaal. Iedereen is altijd welkom.
Als je op kantoor komt, kan je je uitleven met tafelvoetbal of met een potje poolen.
Na het werk kun je ook samen met je collega’s naar de sportschool (sommige collega’s gaan twee keer per week samen naar de sportschool).

5cd8a0b9cc68f9ffa4c9253553278a55wer"
"
            
        Data Engineer (m/w/d)
      
          ",https://de.linkedin.com/jobs/view/data-engineer-m-w-d-at-machtfit-gmbh-3708677088?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=FKw2MPAXlz1p9i%2Baz6jTig%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            machtfit GmbH
          ","
            Germany
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 day ago
  
          ","Wir suchen zum nächstmöglichen Zeitpunkt zur Erweiterung unseres Data Teams einen weiteren Data Engineer.




We are looking to expand our Data Team with an additional Data Engineer who can start as soon as possible.




Aufgaben




Du pflegst und erweiterst unsere Datenpipelines und unser Datawarehouse
Du liebst es, Datenprodukte in Zusammenarbeit mit Datenanalysten und Data Scientists zu entwerfen, zu entwickeln und zu pflegen
Du integrierst neue Datenquellen und restrukturierst unsere aktuellen Datenpipelines, um die Performance und Skalierbarkeit zu verbessern
Du arbeitest mit unseren Data Engineers zusammen, um ein Data Monitoring zu entwickeln, um die Zuverlässigkeit und Qualität unserer Daten zu verbessern
Du arbeitest mit unseren Data Scientists zusammen, um eine Recommendation Engine, die wir von Grund auf neu erstellen, zu erweitern und zu skalieren
You will maintain and expand our data pipelines and our data warehouse
You love to design, develop and maintain data products in collaboration with Data Analysts and Data Scientists
You will Integrate new data sources and restructure our current data pipelines to improve performance and scalability
You will collaborate with our Data Engineers to develop a Data Monitoring system to improve the reliability and quality of our data
You will collaborate with our Data Scientists to expand and scale a Recommendation Engine that we are building from scratch




Qualifikation




3-4 Jahre Erfahrung im Aufbau und der Pflege von Data Warehouses und der Durchführung von Data Modeling
Sehr starke SQL- und Python-Kenntnisse (unser aktueller ETL-Stack besteht aus SQL-Skripten, die von mara-etl ausgeführt werden - einem Python-basierten ETL-Framework)
Du arbeitest gerne im Team und führst Projekte in fokussierten, inkrementellen Schritten durch
fließend Englisch und Deutsch (~B2 für beide ist ausreichend)
3-4 years experience building and maintaining data warehouses and performing data modeling
Very strong SQL and Python skills (our current ETL stack consists of SQL scripts executed by mara-etl, a lightweight Python-based ETL framework)
You enjoy working in a team, and completing projects in focused, incremental steps
Reasonably fluent in English and German (~B2 for both is acceptable)




Benefits




Gesundheit – Wir leben unser Produkt. Daher stellen wir dir ein jährliches Budget für Gesundheitskurse sowie -equipment zur Verfügung
Work-Life-Balance – Du erhältst einen unbefristetet Arbeitsvertrag, 28 Tage Urlaub p.a. + 1 Tag für ehrenamtliche Tätigkeiten, flexible Arbeitszeiten. Ein selbst bestimmtes Hybrid-Arbeitsmodell (remote oder Office) bieten dir die Möglichkeit, einen Ausgleich zwischen Berufs- und Privatleben zu schaffen
Teamspirit – Unser passioniertes Team freut sich schon auf dich. Durch regelmäßige Teamevents stärken wir unsere Bindung und Zusammenarbeit
Health - We are living our product. That is why we offer you a budget to be used for health and fitness courses as well as equipment
Work-Life-Balance - You receive an unlimited contract, 28 days of vacation plus 1 day for community service and flexible working hours. An individual working modell (remote or at the office) offers you the opportunity to find a balance between working and private life.
Team Spirit - Our passionate team is eager to meet you. We strengthen our bond and cooperation through regular team events."
"
            
        Junior Data Engineer (initiativ)
      
          ",https://at.linkedin.com/jobs/view/junior-data-engineer-initiativ-at-talentbase-tech-3710418137?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=dba1%2FttI7piNrMYuQQcndg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            talentbase.tech
          ","
            Austria
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      21 hours ago
  
          ","Dies ist eine INITIATIVBEWERBUNG! Bewirb dich jetzt über talentbase .tech ...




und wähle bis zu 35 Partner-Unternehmen aus, an welche wir dein Profil für eine DATA ENGINEER Stelle weiterleiten.




Aufgaben




Datenextraktion, Transformation und Laden (ETL) von verschiedenen Datenquellen.
Unterstützung bei der Entwicklung und Pflege von Datenpipelines.
Datenspeicherung und -verwaltung in Datenbanken oder Data Warehouses.
Mitarbeit bei der Datentransformation und -bereinigung.
Überwachung und Wartung von Datenverarbeitungsprozessen.





Qualifikation




Programmierkenntnisse in Sprachen wie Python, Java oder Scala
Verständnis der grundlegenden Datenbankkonzepte und -technologien
Erfahrung mit Big-Data-Frameworks wie Hadoop oder Spark
Kenntnisse in der Datenmodellierung und ETL-Prozessen
Vertrautheit mit SQL und grundlegendes Verständnis von NoSQL-Datenbanken
Problemlösungsfähigkeiten und analytisches Denkvermögen
Teamfähigkeit und die Fähigkeit, effektiv in einem dynamischen Umfeld zu arbeiten
Aufmerksamkeit für Detail und Genauigkeit bei der Datenverarbeitung
Grundlegende Kenntnisse in der Arbeit mit Cloud-Plattformen wie AWS, GCP oder Azure





Dies ist eine Stelle von talentbase .tech!




Profil erstellen und Daten ausfüllen
Coole Unternehmen finden
Mit 1-Klick auf deine Traumrolle bewerben.





Achtung: 1-Klick Initiativbewerbungen sind momentan nur für Österreichische und EU-Staatsbürger:innen, sowie Personen mit Sitz in Österreich verfügbar."
"
            
        Data DevOps Engineer
      
          ",https://mt.linkedin.com/jobs/view/data-devops-engineer-at-gaming-innovation-group-3695112958?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=qRl7HvwYkn0aXaTJE8A6kQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Gaming Innovation Group
          ","
            San Ġiljan, Malta
          ",,"
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 weeks ago
  
          ","The role




Our centralized Production Operations team is expanding and thus, we are keen to identify a Devops specialist who has a strong interest in Big Data.




GiG harnesses the power of Big Data across the iGaming ecosystem and this role would be key to help maintain and improve on the existing solution that is constantly evolving according to business requirements.




You’d be really excited to:




Script different isolated environments such as an environment for QA, Production, Staging and User Acceptance Testing Environments in an agnostic way.
Maintain and improve the governance of existing Data Stack, ranging from Data Engineering Tools, Data Science Modelling and also Business Intelligence reporting toolsets.
Develop processes for the development teams so that features can be automatically tested and merged to one code base.
Setting up and maintaining platforms such as ticketing systems to manage requests from different verticals within the company.
Responsible for administration of permissions throughout the team.
Doing POCs with different approaches for automation of deployments with cutting edge technologies such as Clickhouse, Apache Spark, Confluent platform (using mainly Avro, KSQL, Kafka Connect and Kafka), Apache Ignite, Apache NiFi and NiFi Registry.
Suggest tools for increased productivity, security, reliability, and performance.
Maintain and develop tools and agents such as Grafana for performance monitoring, security monitoring.
Use Grafana for monitoring our applications.
Help with CI/CD processes.
Maintain kubernetes clusters that support our Spark and Spring containerised applications.
Work with third parties for guidance and systems integration using best practices with tools such as Clickhouse or Kafka.
Provide guidance and direction to the development team and follow best practices
Enhance current code stack to help with automation, versioning, tags and automation of Pipelines.




Who you are:




Hold a Bachelor’s Degree in Computer Science or equivalent
Experience in this role or automation with Apache Projects
Have worked with both Linux and Windows environments
A strong background in Big Data, technologies such as HDFS, Hadoop, HDFS, Apache Kafka, Apache Spark, Apache NiFi.
A strong understanding of DevOps methodologies and concepts.
Strong infrastructure knowledge on cloud platform providers such as Azure, GCP or AWS.
Fluent with UNIX"
"
            
        Data Engineer
      
          ",https://at.linkedin.com/jobs/view/data-engineer-at-paso-solutions-3699738677?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=sboQCiPugcEp9WGeffT0VA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            PASO Solutions
          ","
            Austria
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
          ","PASO SOLUTIONS ist ein aufstrebendes und schnell wachsendes Unternehmen mit Standorten in Hohenzell, Graz und Landau in der Pfalz. Wir sind ein agiles Team bestehend aus engagierten Solutions Consultants, Architects und Engineers. Gemeinsam entwickeln wir individuelle Business Analytics & Software Lösungen für unsere langjährigen nationalen und internationalen Kunden in den Bereichen Automotive und Anlagenbau und treiben innovative Technologien voran.




Du bist stolz ein DATA ENGINEER zu sein? Wir auch! Entwickle mit uns gemeinsam Data Warehouses, Business Intelligence und Analytics Lösungen. Werde ab sofort in VZ ein Teil unseres engagierten Teams in Hohenzell oder Graz als




Senior Data Engineer




für Data Warehouses, Business Intelligence und Analytics (m,w,d)




Aufgaben




Entwicklung von Data Warehouses, Business Intelligence und Analytics Lösungen
Sammeln, generieren und auswählen von relevanten Daten in Quellsystemen
Modellieren der Daten für die effiziente Speicherung und schnelle Abfrage
Aufbereitung von Daten und Berechnung von Kennzahlen für Berichte und Dashboards
Verantwortung über eigene Arbeitspakete bzw. anteiliges Projektmanagement
Entwicklung von Schnittstellen für Daten- und Systemintegration





Qualifikation




Interesse an Data Engineering, Data Analytics und Data Science
Idealerweise einschlägige Ausbildung oder vergleichbare Berufserfahrung
Kenntnisse in SQL und Datenbanken (z.B. SQL Server, T-SQL)
Erfahrungen mit DWH und BI von Vorteil (z.B. ETL, SSIS/SSAS/SSRS, Power BI)
Bereitschaft zum ständigen Lernen und zur fachlichen Weiterbildung
Kommunikative Persönlichkeit, Flexibilität und Lösungsorientierung
Gute Deutschkenntnisse und Teamspirit





Benefits




Spannende Projekte und Herausforderungen passend zu deinem technischen Skillset
Hohe gestalterische Möglichkeiten, breites Aufgabengebiet und selbstbestimmtes





Arbeiten nach deinen Wünschen
Mitgestaltung in einem selbstgesteuerten Team aus stolzen Data Engineers
Freie Zeiteinteilung (Gleitzeit ohne Kernzeit, Home-Office an bis zu drei Tagen)
Individuell auf dich zugeschnittene Weiterbildung (Kurse, Zertifikate, Workshops, …)





Abhängig von deiner Berufserfahrung beginnt das kollektiv-vertragliche Mindestgehalt




(IT-Kollektivvertrag, ST1) bei € 2.589 für Berufseinsteiger bzw. bei € 3.190




mit mehrjähriger Berufserfahrung. Selbstverständlich bieten wir dir eine




attraktive Überzahlung entsprechend deiner Qualifikationen. Gerne erzählen wir




dir bei einem persönlichen Gespräch mehr von uns. Sende uns deinen Lebenslauf




und Kontaktdaten. Wir freuen uns auf deine Bewerbung!"
"
            
        Beca - Ingeniero/a de Datos
      
          ",https://es.linkedin.com/jobs/view/beca-ingeniero-a-de-datos-at-aegon-3698371541?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=JjjpCDQObnDyOy%2FObD5PWA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Aegon
          ","
            Spain
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
          ","Aegon desea contar con un/a estudiante, con interés en conocer y desarrollar su aprendizaje en el Area de Integración de Datos y Big Data, capaz de contribuir al desarrollo de la plataforma Informacional de la compañía, definiendo e implementando las especificaciones necesarias para el correcto diseño, procesamiento, integración, trazabilidad y calidad de los datos.

¿Qué Buscamos?

Estudiante de Ingeniería Informática, Telecomunicaciones, Licenciado/a en Matemáticas o equivalente.

Conocimientos en el tratamiento y consulta de Bases de Datos (SQL).

Deseable conocimiento en Modelado de Bases de Datos analíticas Multidimensionales (Data Warehouse). Entornos BigData y DataLakes.

Personas con ganas de aprender y de evolucionar.

Funciones

Parte del equipo de Ingenieros de Datos, del Area Data Integration, dentro del Departamento de Tecnología de AEGON España.
Desarrollo con herramientas de Integración y procesamiento de Datos, BigData y Servicios Cloud, Amazon Web Services: Informatica BDM, Amazon S3, Amazon Athena, Amazon Redshift, Spectrum, PostgreSQL, DBeaver.
Definición e implementación de los procesos de Integración de datos.
Definición e implementación de los procesos de Calidad de datos.
Colaboración de forma activa con los diferentes departamentos, y trato directo con el cliente, en los diferentes proyectos de datos.


Competencias

Gusto por la calidad y la excelencia.
Espíritu crítico orientado a la mejora continua
Compromiso y Proactividad
Trabajo en equipo y cooperación


Otros datos

Duración de 6 meses
Beca retribuida
Flexibilidad horaria 5 horas al día, de lunes a viernes, idealmente en horario de mañana.
Trabajo híbrido (2 dias oficina + 3 teletrabajo)"
"
            
        Data Engineer H/F
      
          ",https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-op-rate-3689910615?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=%2FcZJyqKT4c%2F1sMcms8KRfQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            OP-Rate
          ","
            Rennes, Brittany, France
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      3 weeks ago
  
          ","Chez OP-Rate, nous avons à coeur de faire évoluer nos collaborateurs dans leur montée en compétences sur des projets toujours plus ambitieux et de les faire participer entièrement à la vie de l'entreprise.

Nous aidons depuis 2017 les startups, PME et Grandes Entreprises à accélérer leur croissance du Cloud en facilitant le passage à l'échelle de leur charge de travail et en construisant des plateformes de données capable de répondre à leur enjeux business.

Nos domaines de compétences : Lift and Shift, modernisation d'infrastructure et d'applications. Création de Data platform.

Dans le cadre son développement, OP-RATE s'implante dans votre région, afin d' être au plus proche de ses Teams existantes et futures.

Pour renforcer notre Core Team et répondre aux besoins de nos clients nous recherchons un Data Engineer Junior (H/F), vous travaillerez en étroite collaboration avec le Data Engineer Senior(H/F)

Votre rôle consiste à créer des pipelines et des plateformes de données sur des environnements cloud.

Vous travaillez en équipe et intervenez de la phase de Design à la phase de Build pour :

Modéliser des données dans des systèmes relationnels (CloudSQL, PostgreSQL, MySQL) mais aussi NoSQL (MongoDB, BigQuery, BigTable)
Développer des programmes de collecte de données en Python
Développer des API permettant l'accès aux données produites
Coder dans le respect des procédures et des normes

De préférence ingénieur.e de formation, vous êtes attiré.e par les missions Data et le développement python/Spark.

Expérience : 3 ans minimum

Vous maitrisez SQL et 1 langage de programmation comme Java ou Python.

Vous connaissez les concepts ETL/ELT et DataWarehouse.

Vous avez des connaissances/ ou une première expèrience significative sur Spark, Hadoop, des frameworks de streaming (Bean, Flink, Spark streaming)

Vous êtes passionné.e, curieux.se et autonome.

Poste en FULL REMOTE pour débuter l'aventure, proche Rennes (facile d'accés). Par la suite l'hybride ou sur site vous sera proposé.e.s.

Nous répondons à un besoin "" humain"" de nos équipes. ADAPTER LES CONDITIONS DE TRAVAIL EN FONCTION DU RYTHME DE VIE DE CHACUNES ET CHACUNS :)

https://op-rate.com/nous-rejoindre

Rejoignez-nous !"
"
            
        Data Engineer | Must have: SDL Database design, dbt, Apache Airflow and Snowflake.
      
          ",https://pl.linkedin.com/jobs/view/data-engineer-must-have-sdl-database-design-dbt-apache-airflow-and-snowflake-at-corus-consulting-3688422285?refId=NxG6ARZuLxhGsX7wWQX8AA%3D%3D&trackingId=hYLgTNM7N7S8YqVk%2B3%2Fhwg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            CORUS Consulting
          ","
            Poland
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 weeks ago
  
          ","WHAT YOU’LL DO




Active execution and monitoring of complex data engineering pipelines for financial data warehouse.
Architect, Design, document & implement the data pipelines to feed data models for subsequent consumption in Snowflake using dbt, airflow.
Ensure correctness and completeness of the data being transformed via engineering pipelines for end consumption in Analytical Dashboards.
Actively monitor and triage technical challenges in critical situations that require immediate resolution.
Evaluate viable technical solutions and share MVPs or PoCs in support of the research
Develop relationships with external stakeholders to maintain awareness of data and security issues and trends
Review work from other tech team members and provide feedback for growth
Implement Data Performance, Data security policies that align with governance objectives and regulatory requirements




YOU’RE GOOD AT




You have experience in data warehousing, data modelling, and the building of data engineering pipelines. You are well versed in data engineering methods, such as ETL and ELT techniques through scripting and/or tooling. You are good in analyzing performance bottlenecks and providing enhancement recommendations; you have a passion for customer service and a desire to learn and grow as a professional and a technologist.

Strong analytical skills related to working with unstructured datasets.
Collaborating with product owners to identify requirements, define desired outcomes and deliver trusted results.
Building processes supporting data transformation, data structures, metadata, dependency and workload management.
In this role, SQL is heavily focused. An ideal candidate must have hands-on experience with SQL database design. Plus, Python.
Demonstrably deep understanding of SQL (level: advanced) and analytical data warehouses (Snowflake preferred).
Demonstrated ability to write new code i.e., well-documented and stored in a version control system (we use GitHub & Bitbucket)
Extremely talented in applying SCD, CDC and DQ/DV framework.
Familiar with JIRA & Confluence.
Must have exposure to technologies such as dbt, Apache airflow and Snowflake.
Desire to continually keep up with advancements in data engineering practices.
Knowledge on AWS cloud is a plus.




YOU BRING (EXPERIENCE & QUALIFICATIONS)




Essential Education




Bachelor's degree or equivalent combination of education and experience.
Bachelor's degree in information science, data management, computer science or related field preferred.

Essential Experience & Job Requirements




7+ years of IT experience with major focus on data warehouse/database related projects
Must have exposure to technologies such as dbt, Apache Airflow, Snowflake.
Experience in data platforms: Snowflake, Oracle, SQL Server, MDM etc
Expertise in writing SQL and database objects - Stored procedures, functions, views. Hands on experience in ETL/ELT and data security, SQL performance optimization and job orchestration tools and technologies e.g., dbt, Attunity, Golden Gate, APIs, Apache Airflow etc.
Experience in data modelling and relational database design
Well versed in applying SCD, CDC and DQ/DV framework
Demonstrate ability to write new code i.e., well-documented and stored in a version control system (we use GitHub & Bitbucket)
Good to have experience with Cloud Platforms such as AWS, Azure, GCP and Snowflake
Good to have strong programming/ scripting skills (Python, PowerShell, etc.)
Good to have knowledge around developing financial models and forecasting to support financial planning, and decision-making processes.
Experience around responsibility for analyzing and interpreting financial data to provide valuable insights and support strategic decision-making.
Experience working with agile methodologies (Scrum, Kanban) and Meta Scrum with cross-functional teams (Product Owners, Scrum Master, Architects, and data SMEs)
Excellent written, oral communication and presentation skills to present architecture, features, and solution recommendations




YOU’LL WORK WITH




Global functional product portfolio technical leaders (Finance, HR, Marketing, Legal, Risk, IT), product owners, functional area teams across levels
Global Data Product Portfolio Management & teams (Enterprise Data Model, Data Catalog, Master Data Management)
Consulting and internal Data Product Portfolio teams across BCG"
