URL,Field1,Field2,Field4,Field5,Field6
"https://www.glassdoor.com/Overview/Working-at-2Degrees-Investing-Initiative-EI_IE1172847.11,40.htm",4.2 ★,2Degrees Investing Initiative,"Research & Development
1 to 50 Employees","Headquarters near Berlin, Germany",19 Reviews28 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-ACC-Automotive-Cells-Company-EI_IE4956923.11,39.htm",3.5 ★,ACC – Automotive Cells Company,"Chemical Manufacturing
501 to 1K Employees","Headquarters near Bordeaux, France",9 Reviews17 Salaries199 Jobs
"https://www.glassdoor.com/Overview/Working-at-Accelite-EI_IE2416016.11,19.htm",3.8 ★,Accelite,"Information Technology Support Services
1 to 50 Employees","Headquarters near Paris, France",0 Reviews7 Salaries43 Jobs
"https://www.glassdoor.com/Overview/Working-at-Actinvision-EI_IE1900256.11,22.htm",4.3 ★,Actinvision,"Information Technology Support Services
51 to 200 Employees","Headquarters near Strasbourg, France",7 Reviews18 Salaries16 Jobs
"https://www.glassdoor.com/Overview/Working-at-Advanced-Schema-EI_IE1138800.11,26.htm",3.6 ★,Advanced Schema,201 to 500 Employees,"Headquarters near Levallois-Perret, France",25 Reviews51 Salaries3 Jobs
"https://www.glassdoor.com/Overview/Working-at-Airbus-EI_IE3059.11,17.htm",4.1 ★,Airbus,"Aerospace & Defense
10K+ Employees","Headquarters near Toulouse, France",6K Reviews11K Salaries3K Jobs
"https://www.glassdoor.com/Overview/Working-at-AKUR8-EI_IE3051575.11,16.htm",4.8 ★,AKUR8,"Insurance Carriers
1 to 50 Employees","Headquarters near Paris, France",21 Reviews27 Salaries5 Jobs
"https://www.glassdoor.com/Overview/Working-at-Altaide-EI_IE655468.11,18.htm",5.0 ★,Altaide,"HR Consulting
1 to 50 Employees","Headquarters near Paris, France",5 Reviews7 Salaries30 Jobs
"https://www.glassdoor.com/Overview/Working-at-ALTEN-EI_IE12800.11,16.htm",3.4 ★,ALTEN,"Research & Development
10K+ Employees","Headquarters near Boulogne-Billancourt, France",6K Reviews11K Salaries4K Jobs
"https://www.glassdoor.com/Overview/Working-at-ASI-EI_IE695226.11,14.htm",3.4 ★,ASI,HR Consulting,"Headquarters near Roswell, GA",25 Reviews50 Salaries67 Jobs
"https://www.glassdoor.com/Overview/Working-at-AVANTGARDE-Experts-EI_IE1619371.11,29.htm",4.0 ★,AVANTGARDE Experts,"HR Consulting
1K to 5K Employees","Headquarters near Munich, Germany",50 Reviews137 Salaries12 Jobs
"https://www.glassdoor.com/Overview/Working-at-AVIV-Group-EI_IE8110210.11,21.htm",4.2 ★,AVIV Group,1K to 5K Employees,"Headquarters near Berlin, Germany",9 Reviews26 Salaries62 Jobs
"https://www.glassdoor.com/Overview/Working-at-AXA-EI_IE10343.11,14.htm",4.0 ★,AXA,"Insurance Carriers
10K+ Employees","Headquarters near Paris, France",6K Reviews9K Salaries2K Jobs
"https://www.glassdoor.com/Overview/Working-at-Axeal-EI_IE1060240.11,16.htm",3.2 ★,Axeal,"HR Consulting
201 to 500 Employees","Headquarters near Champagne-au-Mont-d'Or, France",24 Reviews31 Salaries18 Jobs
"https://www.glassdoor.com/Overview/Working-at-Acheel-EI_IE4695931.11,17.htm",4.7 ★,Acheel,1 to 50 Employees,"Headquarters near Paris, France",4 Reviews3 Salaries2 Jobs
"https://www.glassdoor.com/Overview/Working-at-Agicap-EI_IE3983801.11,17.htm",3.9 ★,Agicap,"Enterprise Software & Network Solutions
201 to 500 Employees","Headquarters near Lyon, France",142 Reviews279 Salaries71 Jobs
"https://www.glassdoor.com/Overview/Working-at-Air-Liquide-EI_IE10332.11,22.htm",3.8 ★,Air Liquide,"Chemical Manufacturing
10K+ Employees","Headquarters near Paris, France",3K Reviews5K Salaries2K Jobs
,,,,,
"https://www.glassdoor.com/Overview/Working-at-SoftBank-Robotics-EI_IE625715.11,28.htm",3.3 ★,SoftBank Robotics,"Consumer Product Manufacturing
201 to 500 Employees","Headquarters near Tokyo, Japan",132 Reviews256 Salaries2 Jobs
"https://www.glassdoor.com/Overview/Working-at-Alectris-EI_IE5603399.11,19.htm",2.7 ★,Alectris,1 to 50 Employees,"Headquarters near Thessaloníki, Greece",4 Reviews9 Salaries2 Jobs
"https://www.glassdoor.com/Overview/Working-at-Algofi-EI_IE645703.11,17.htm",3.5 ★,Algofi,"Business Consulting
201 to 500 Employees","Headquarters near Paris, France",26 Reviews45 Salaries68 Jobs
"https://www.glassdoor.com/Overview/Working-at-Andersen-Lab-EI_IE1023417.11,23.htm",3.9 ★,Andersen Lab,"Software Development
1K to 5K Employees","Headquarters near Warsaw, Poland",179 Reviews160 Salaries76 Jobs
"https://www.glassdoor.com/Overview/Working-at-Antler-EI_IE2512066.11,17.htm",3.9 ★,Antler,"Investment & Asset Management
201 to 500 Employees","Headquarters near Singapore, Singapore",200 Reviews150 Salaries7 Jobs
"https://www.glassdoor.com/Overview/Working-at-Appfire-Technologies-EI_IE912880.11,31.htm",4.6 ★,Appfire Technologies,"Computer Hardware Development
501 to 1K Employees","Headquarters near Burlington, MA",38 Reviews61 Salaries31 Jobs
"https://www.glassdoor.com/Overview/Working-at-Aqemia-EI_IE3980651.11,17.htm",,Aqemia,1 to 50 Employees,"Headquarters near Paris, France",0 Reviews10 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Arelance-Group-EI_IE943664.11,25.htm",3.4 ★,Arelance Group,"Information Technology Support Services
201 to 500 Employees","Headquarters near Málaga, Spain",17 Reviews28 Salaries41 Jobs
"https://www.glassdoor.com/Overview/Working-at-Arm-EI_IE7834.11,14.htm",4.2 ★,Arm,"Computer Hardware Development
5K to 10K Employees","Headquarters near Cambridge, United Kingdom",2K Reviews8K Salaries513 Jobs
"https://www.glassdoor.com/Overview/Working-at-Artefact-EI_IE1366034.11,19.htm",4.0 ★,Artefact,"Business Consulting
501 to 1K Employees","Headquarters near Paris, France",312 Reviews634 Salaries110 Jobs
"https://www.glassdoor.com/Overview/Working-at-Artelia-EI_IE780687.11,18.htm",3.9 ★,Artelia,"Architectural & Engineering Services
5K to 10K Employees","Headquarters near Saint-Ouen, France",328 Reviews574 Salaries783 Jobs
,4.0 ★,JPMorgan Chase & Co,,,
"https://www.glassdoor.com/Overview/Working-at-Astek-EI_IE200717.11,16.htm",3.5 ★,Astek,"Information Technology Support Services
5K to 10K Employees","Headquarters near Paris, France",1K Reviews2K Salaries66 Jobs
"https://www.glassdoor.com/Overview/Working-at-Atos-EI_IE10686.11,15.htm",3.7 ★,Atos,"Information Technology Support Services
10K+ Employees","Headquarters near Bezons, France",12K Reviews18K Salaries2K Jobs
"https://www.glassdoor.com/Overview/Working-at-Auchan-Retail-EI_IE7427.11,24.htm",3.5 ★,Auchan Retail,"General Merchandise & Superstores
10K+ Employees","Headquarters near Croix, France",2K Reviews3K Salaries28 Jobs
"https://www.glassdoor.com/Overview/Working-at-Axionable-EI_IE1881643.11,20.htm",4.1 ★,Axionable,"Information Technology Support Services
1 to 50 Employees","Headquarters near Paris, France",15 Reviews24 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Axway-EI_IE309158.11,16.htm",3.6 ★,Axway,"Enterprise Software & Network Solutions
1K to 5K Employees","Headquarters near Scottsdale, AZ",534 Reviews869 Salaries37 Jobs
"https://www.glassdoor.com/Overview/Working-at-AZmed-EI_IE5451789.11,16.htm",5.0 ★,AZmed,1 to 50 Employees,"Headquarters near Paris, France",2 Reviews4 Salaries0 Jobs
