Title,url,company,location,status,date_posted,text
"
            
        Data Engineer (AWS)
      
          ",https://es.linkedin.com/jobs/view/data-engineer-aws-at-plain-concepts-3713746185?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=g2KXDM202BUSV3NdzLSYUQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Plain Concepts
          ","
            Spain
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 day ago
  
          ","Estamos ampliando nuestros equipos y aunque no nos importan mucho los títulos, llamamos a este rol Data Engineer y la clave es tener experiencia en cloud y un deseo constante de seguir aprendiendo.




Nuestra visión es construir equipos multidisciplinares que gestionen directamente los proyectos de forma AGIL para encontrar e implementar las mejores soluciones 😊.




¿Qué harás?




Participarás en la creación de plataformas de datos, ayudando a definir cómo la inteligencia artificial puede ayudar al negocio
Implementarás buenas prácticas en ingeniería en el área de datos e inteligencia artificial
Desarrollarás proyectos desde cero bajo supervisión mínima y con la colaboración del equipo
Participarás en el diseño de arquitecturas y toma de decisiones en un entorno constructivo y con dinámica de cocreación
Desarrollarás ETLs con Spark (Python)
Desarrollarás proyectos en cloud (Azure, AWS)
Construirás pipelines escalables con diferentes tecnologías: airflow, data factory,..
Participarás en procesos de preventa, desde fases tempranas en relaciones con clientes, siendo capaz de entender las necesidades del negocio, para encontrar la mejor solución técnica




Requirements




¿Qué buscamos?




Sólida experiencia trabajando en ecosistemas de datos de AWS
Sólida experiencia en Cloud (AWS). Valorable experiencia con Azure o GCP
Sólida experiencia en Python y PySpark procesando grandes volúmenes de datos
Experiencia en la creación de data pipelines (CI/CD)
Experiencia en la implementación de modelos de ML listos para producción, utilizando técnicas actuales de ML/Deep learning
Experiencia con tecnología MLOps
Experiencia con herramientas de control de versiones de código fuente
Conocimiento en bases de datos SQL y NoSQL
Experiencia en testing
Nivel alto de inglés
Team player
Nice to have: Experiencia en Power BI // Experiencia con herramientas como Terraform, Bicep o similares




Benefits




¿Qué Ofrecemos?:




Salario acorde al mercado y tu experiencia 🤑
Horario flexible 35 horas / semana 😎 (sin reducción de salario)
Trabajo remoto 100% (opcional) 🌍
Retribución flexible (restaurante, transporte y guardería) ✌
Seguro médico y dental (totalmente gratuito para el empleado) 🚑
Presupuesto individual para formación ycertificaciones de Microsoft gratuitas 📚
Clases de inglés (1 hora a la semana) 🗽
Día libre por tu cumpleaños 🌴🥳
Bonus mensual en concepto de electricidad e internet en casa 💻
Descuento en plan de gimnasio y actividades deportivas 🔝
Plain Camp (evento anual de team building) 🎪




➕ El gusto de trabajar siempre con las últimas herramientas tecnológicas.




Con toda esta info ya conoces mucho de nosotros, ¿nos dejas que conozcamos más de ti?




¿El proceso de selección? – Sencillo, 3 pasos: una llamada y 2 entrevistas con el equipo 🤘




Y te preguntarás… ¿Quién es Plain Concepts?




Plain Concepts somos más de 400 personas apasionadas por la tecnología, movidas por el cambio hacia la búsqueda de las mejores soluciones para nuestros clientes y proyectos.




A lo largo de estos años, la empresa ha crecido gracias al gran potencial técnico que tenemos dentro y apoyándonos siempre en nuestras ideas más locas e innovadoras. Contamos con más de 14 oficinas en 6 países diferentes. Nuestro objetivo principal es seguir creciendo como equipo, realizando los mejores y más avanzados proyectos en el mercado.




Realmente creemos en la importancia de reunir personas de diferentes ámbitos y países para formar el mejor equipo, con una cultura plural e inclusiva.




¿Qué hacemos en Plain?




Nos caracterizamos por tener un ADN 100% técnico. Desarrollamos proyectos a medida desde 0, consultorías técnicas y formación💜




No hacemos bodyshopping ni outsorcing
Nuestros equipos son multidisciplinares y la estructura de organización es plana y horizontal
Muy comprometidos con los valores AGILE
Vivir es compartir, nos ayudamos, apoyamos y animamos mutuamente para ampliar nuestros conocimientos internamente y también de cara a la comunidad (con conferencias, eventos, charlas..)
Siempre buscamos la creatividad e innovación, incluso cuando la idea es una locura para otros
La transparencia, clave para cualquier relación




Hacemos realidad las ideas y soluciones de nuestros clientes con un alto grado de excelencia técnica, para más información visita nuestra web:




➡ https://www.plainconcepts.com/es/casos-estudio/




En Plain Concepts, sin duda, buscamos ofrecer igualdad de oportunidades. Queremos solicitantes con diversidad sin importar la raza, color, género, religión, nacionalidad, ciudadanía, discapacidad, edad, orientación sexual o cualquier otra característica protegida por la ley."
"
            
        Big Data Engineer (100% remoto)
      
          ",https://es.linkedin.com/jobs/view/big-data-engineer-100%25-remoto-at-sectorea-3712302638?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=AmvQeJumSuGb7QppwKaKpQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Sectorea
          ","
            Spain
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 hours ago
  
          ","🚀 Sectorea somos una compañía de atracción de talento especializada en selección de perfiles digitales. Somos partners de clientes líderes en el sector, especialistas en innovación, desarrollo de software, productos digitales, inteligencia artificial, entidades bancarias, ¡y mucho más!




En este momento, estamos buscando un Big Data Engineer con +3 años de experiencia para trabajar 100% remoto con una empresa de tecnología y consultoría internacional 👨🏻‍💻🌍




¿Qué necesitas para unirte al equipo?

Más de 3 años de experiencia como Big Data/Data Engineer
Experiencia trabajando con Scala y Spark
Experiencia y conocimientos en Hive y HDFS




¿Qué te ofrecen?

Contrato indefinido 📝✅
Salario competitivo en función de la experiencia
Horario flexible y 100% en remoto 🌍
Jornada intensiva los viernes y en verano hasta las 15:00h
Seguro médico privado 🩺
Retribución flexible
Oportunidades de crecimiento y desarrollo.




¡Te esperamos!"
"
            
        Junior Data Engineer (initiativ)
      
          ",https://at.linkedin.com/jobs/view/junior-data-engineer-initiativ-at-talentbase-tech-3710418137?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=rQ82ytsv3GMTJaOVKQwJhw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            talentbase.tech
          ","
            Austria
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      4 days ago
  
          ","Dies ist eine INITIATIVBEWERBUNG! Bewirb dich jetzt über talentbase .tech ...




und wähle bis zu 35 Partner-Unternehmen aus, an welche wir dein Profil für eine DATA ENGINEER Stelle weiterleiten.




Aufgaben




Datenextraktion, Transformation und Laden (ETL) von verschiedenen Datenquellen.
Unterstützung bei der Entwicklung und Pflege von Datenpipelines.
Datenspeicherung und -verwaltung in Datenbanken oder Data Warehouses.
Mitarbeit bei der Datentransformation und -bereinigung.
Überwachung und Wartung von Datenverarbeitungsprozessen.





Qualifikation




Programmierkenntnisse in Sprachen wie Python, Java oder Scala
Verständnis der grundlegenden Datenbankkonzepte und -technologien
Erfahrung mit Big-Data-Frameworks wie Hadoop oder Spark
Kenntnisse in der Datenmodellierung und ETL-Prozessen
Vertrautheit mit SQL und grundlegendes Verständnis von NoSQL-Datenbanken
Problemlösungsfähigkeiten und analytisches Denkvermögen
Teamfähigkeit und die Fähigkeit, effektiv in einem dynamischen Umfeld zu arbeiten
Aufmerksamkeit für Detail und Genauigkeit bei der Datenverarbeitung
Grundlegende Kenntnisse in der Arbeit mit Cloud-Plattformen wie AWS, GCP oder Azure





Dies ist eine Stelle von talentbase .tech!




Profil erstellen und Daten ausfüllen
Coole Unternehmen finden
Mit 1-Klick auf deine Traumrolle bewerben.





Achtung: 1-Klick Initiativbewerbungen sind momentan nur für Österreichische und EU-Staatsbürger:innen, sowie Personen mit Sitz in Österreich verfügbar."
"
            
        Python Developer | Data Engineer (remote, Poland based)
      
          ",https://pl.linkedin.com/jobs/view/python-developer-data-engineer-remote-poland-based-at-hro-digital-3714574983?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=LIdV3a3aAIls9yfKQSS9WQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            HRO Digital
          ","
            Poland
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 hour ago
  
          ","HRO Digital is an international company providing recruitment support within #Fintech, #Finance and #Banking market in EMEA. We connect the most innovative organizations with the best people in the market. We conduct systematic market research, which allows our Digital Teams to be a step ahead of the competition.




As a pioneering startup based in Silicon Valley, our Client's solution is dedicated to advancing the next-generation of AI intelligent technology that will empower employer to find the best candidates with a click of a button, revolutionizing the recruitment process and significantly reducing time-to-hire. For job seekers, their platform constantly looks for job matches 24/7 so no opportunities go unnoticed.




If you're a Python Developer | Data Engineer looking for an exciting role in a competitive field and a collaborative environment with lots of autonomy, let’s talk!




About the role:

In this role as a crucial member of our Data Science team, you'll team up with product, design, engineering experts and modeling specialists to unearth insights and pinpoint ways to enhance our AI matching technology. Your skills and enthusiasm will be put to use in conceiving, constructing and delivering innovative solutions.

Working closely with your colleagues, you'll articulate your vision through ambitious product plans, present execution strategies, oversee implementation and maintain open communication about progress and obstacles with the whole team. You will also have direct contact with product and business owners to get the first-hand knowledge of the industry/customer challenges to align your vision to the overall business objectives.




What will you do?

Working with microservices architecture, relational database, data pipelines, data storages, vector database
Assisting the Data Science team in integrating their solutions with the product
Taking part in peer reviews to ensure quality and consistency
Collaborating with both local and offshore colleagues
Debugging and solving complex problems either individually or within a team




Requirements:

2+ years of hands-on experience with Python (familiarity with Fast API is advantageous)
2+ years of professional SQL expertise (experience with SQL Alchemy is a bonus)
Prior exposure to Data Engineering (familiarity with Azure Machine Learning Studio is a plus)
Experience or a strong interest in diving into the realm of Machine Learning, particularly Natural Language Processing projects
Proven experience in leading data-driven projects from definition through interpretation and execution




Nice to have:

Hands-on engineering and implementation knowledge with container technologies like Docker & Kubernetes
Experience with ML-Ops
Experience in architecting, developing software in cloud environments such as Amazon Web Services, Azure or Google Cloud Platform (in the project we use Azure stack)
Experience working with geographically distributed engineering teams




What's in it for you?

Work on the forefront of AI and data science, gaining exposure to the latest technologies and methodologies
Fully remote work (Poland based) or Cracow
UoP or B2B contract - you choose!
Opportunities for skill development and career advancement in a fast-paced, innovative environment
Competitive salary packages and benefits, reflecting your skills and contributions
Opportunities to lead data-driven projects and take ownership of your work from start to finish"
"
            
        Data Engineer (m/w/d)
      
          ",https://de.linkedin.com/jobs/view/data-engineer-m-w-d-at-machtfit-gmbh-3708677088?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=DbSSQheXPl94nZje0KEvpg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            machtfit GmbH
          ","
            Germany
          ",,"
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      5 days ago
  
          ","Wir suchen zum nächstmöglichen Zeitpunkt zur Erweiterung unseres Data Teams einen weiteren Data Engineer.




We are looking to expand our Data Team with an additional Data Engineer who can start as soon as possible.




Aufgaben




Du pflegst und erweiterst unsere Datenpipelines und unser Datawarehouse
Du liebst es, Datenprodukte in Zusammenarbeit mit Datenanalysten und Data Scientists zu entwerfen, zu entwickeln und zu pflegen
Du integrierst neue Datenquellen und restrukturierst unsere aktuellen Datenpipelines, um die Performance und Skalierbarkeit zu verbessern
Du arbeitest mit unseren Data Engineers zusammen, um ein Data Monitoring zu entwickeln, um die Zuverlässigkeit und Qualität unserer Daten zu verbessern
Du arbeitest mit unseren Data Scientists zusammen, um eine Recommendation Engine, die wir von Grund auf neu erstellen, zu erweitern und zu skalieren
You will maintain and expand our data pipelines and our data warehouse
You love to design, develop and maintain data products in collaboration with Data Analysts and Data Scientists
You will Integrate new data sources and restructure our current data pipelines to improve performance and scalability
You will collaborate with our Data Engineers to develop a Data Monitoring system to improve the reliability and quality of our data
You will collaborate with our Data Scientists to expand and scale a Recommendation Engine that we are building from scratch




Qualifikation




3-4 Jahre Erfahrung im Aufbau und der Pflege von Data Warehouses und der Durchführung von Data Modeling
Sehr starke SQL- und Python-Kenntnisse (unser aktueller ETL-Stack besteht aus SQL-Skripten, die von mara-etl ausgeführt werden - einem Python-basierten ETL-Framework)
Du arbeitest gerne im Team und führst Projekte in fokussierten, inkrementellen Schritten durch
fließend Englisch und Deutsch (~B2 für beide ist ausreichend)
3-4 years experience building and maintaining data warehouses and performing data modeling
Very strong SQL and Python skills (our current ETL stack consists of SQL scripts executed by mara-etl, a lightweight Python-based ETL framework)
You enjoy working in a team, and completing projects in focused, incremental steps
Reasonably fluent in English and German (~B2 for both is acceptable)




Benefits




Gesundheit – Wir leben unser Produkt. Daher stellen wir dir ein jährliches Budget für Gesundheitskurse sowie -equipment zur Verfügung
Work-Life-Balance – Du erhältst einen unbefristetet Arbeitsvertrag, 28 Tage Urlaub p.a. + 1 Tag für ehrenamtliche Tätigkeiten, flexible Arbeitszeiten. Ein selbst bestimmtes Hybrid-Arbeitsmodell (remote oder Office) bieten dir die Möglichkeit, einen Ausgleich zwischen Berufs- und Privatleben zu schaffen
Teamspirit – Unser passioniertes Team freut sich schon auf dich. Durch regelmäßige Teamevents stärken wir unsere Bindung und Zusammenarbeit
Health - We are living our product. That is why we offer you a budget to be used for health and fitness courses as well as equipment
Work-Life-Balance - You receive an unlimited contract, 28 days of vacation plus 1 day for community service and flexible working hours. An individual working modell (remote or at the office) offers you the opportunity to find a balance between working and private life.
Team Spirit - Our passionate team is eager to meet you. We strengthen our bond and cooperation through regular team events."
"
            
        Junior Big Data Engineer (initiativ)
      
          ",https://at.linkedin.com/jobs/view/junior-big-data-engineer-initiativ-at-talentbase-tech-3711026916?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=TGDR7AUnt724ARkyz7aCJg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            talentbase.tech
          ","
            Austria
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      3 days ago
  
          ","Dies ist eine INITIATIVBEWERBUNG! Bewirb dich jetzt über talentbase .tech ...




und wähle bis zu 9 Partner-Unternehmen aus, an welche wir dein Profil für eine BIG DATA ENGINEER Stelle weiterleiten.




Aufgaben




Unterstützung bei der Entwicklung und Implementierung von Datenverarbeitungs-Pipelines.
Datenaufbereitung und Transformation für Analysen.
Mitwirkung an der Wartung und Optimierung von Big-Data-Infrastrukturen.
Zusammenarbeit mit Teammitgliedern bei der Datenmodellierung und -integration.
Unterstützung bei der Fehlerbehebung und kontinuierlichen Verbesserung der Datenverarbeitungsprozesse.





Qualifikation




Programmierkenntnisse in Sprachen wie Python, Java oder Scala.
Grundlegendes Verständnis des Hadoop-Ökosystems.
Kenntnisse im Datenbankmanagement und in SQL.
Erfahrung mit Datenmodellierung und ETL-Prozessen.
Vertrautheit mit Cloud-Plattformen wie AWS, GCP oder Azure.
Analytisches Denkvermögen und Problemlösungsfähigkeiten.
Teamfähigkeit und die Fähigkeit, effektiv zu kommunizieren.
Motivation zur Weiterbildung und Interesse an neuen Technologien.





Dies ist eine Stelle von talentbase .tech!




Profil erstellen und Daten ausfüllen
Coole Unternehmen finden
Mit 1-Klick auf deine Traumrolle bewerben.





Achtung: 1-Klick Initiativbewerbungen sind momentan nur für Österreichische und EU-Staatsbürger:innen, sowie Personen mit Sitz in Österreich verfügbar."
"
            
        Data Engineer
      
          ",https://at.linkedin.com/jobs/view/data-engineer-at-paso-solutions-3711897312?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=rOZ00%2FyapiLiUU3cxR2FBg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            PASO Solutions
          ","
            Austria
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 day ago
  
          ","PASO SOLUTIONS ist ein aufstrebendes und schnell wachsendes Unternehmen mit Standorten in Hohenzell, Graz und Landau in der Pfalz. Wir sind ein agiles Team bestehend aus engagierten Solutions Consultants, Architects und Engineers. Gemeinsam entwickeln wir individuelle Business Analytics & Software Lösungen für unsere langjährigen nationalen und internationalen Kunden in den Bereichen Automotive und Anlagenbau und treiben innovative Technologien voran.




Du bist stolz ein DATA ENGINEER zu sein? Wir auch! Entwickle mit uns gemeinsam Data Warehouses, Business Intelligence und Analytics Lösungen. Werde ab sofort in VZ ein Teil unseres engagierten Teams in Hohenzell oder Graz als




Senior Data Engineer




für Data Warehouses, Business Intelligence und Analytics (m,w,d)




Aufgaben




Entwicklung von Data Warehouses, Business Intelligence und Analytics Lösungen
Sammeln, generieren und auswählen von relevanten Daten in Quellsystemen
Modellieren der Daten für die effiziente Speicherung und schnelle Abfrage
Aufbereitung von Daten und Berechnung von Kennzahlen für Berichte und Dashboards
Verantwortung über eigene Arbeitspakete bzw. anteiliges Projektmanagement
Entwicklung von Schnittstellen für Daten- und Systemintegration





Qualifikation




Interesse an Data Engineering, Data Analytics und Data Science
Idealerweise einschlägige Ausbildung oder vergleichbare Berufserfahrung
Kenntnisse in SQL und Datenbanken (z.B. SQL Server, T-SQL)
Erfahrungen mit DWH und BI von Vorteil (z.B. ETL, SSIS/SSAS/SSRS, Power BI)
Bereitschaft zum ständigen Lernen und zur fachlichen Weiterbildung
Kommunikative Persönlichkeit, Flexibilität und Lösungsorientierung
Gute Deutschkenntnisse und Teamspirit





Benefits




Spannende Projekte und Herausforderungen passend zu deinem technischen Skillset
Hohe gestalterische Möglichkeiten, breites Aufgabengebiet und selbstbestimmtes





Arbeiten nach deinen Wünschen
Mitgestaltung in einem selbstgesteuerten Team aus stolzen Data Engineers
Freie Zeiteinteilung (Gleitzeit ohne Kernzeit, Home-Office an bis zu drei Tagen)
Individuell auf dich zugeschnittene Weiterbildung (Kurse, Zertifikate, Workshops, …)





Abhängig von deiner Berufserfahrung beginnt das kollektiv-vertragliche Mindestgehalt




(IT-Kollektivvertrag, ST1) bei € 2.589 für Berufseinsteiger bzw. bei € 3.190




mit mehrjähriger Berufserfahrung. Selbstverständlich bieten wir dir eine




attraktive Überzahlung entsprechend deiner Qualifikationen. Gerne erzählen wir




dir bei einem persönlichen Gespräch mehr von uns. Sende uns deinen Lebenslauf




und Kontaktdaten. Wir freuen uns auf deine Bewerbung!"
"
            
        Data Warehouse Testing Engineer
      
          ",https://ro.linkedin.com/jobs/view/data-warehouse-testing-engineer-at-alten-romania-3692368436?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=3fbobJ6T8YXjhI9as7sMFQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            ALTEN Romania
          ","
            Bucharest, Romania
          ","
         Actively Hiring
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 days ago
  
          ","About ALTEN Romania




ALTEN Romania, part of the international ALTEN Group - with a unique position as a Leader in IT & Engineering Consulting- has provided support for its clients’ development strategies in innovation, R&D, and IT systems since 1996. The company comprises 2 divisions specialized in its core capabilities: ENGINEERING & IT. These two divisions are ALTEN TECHNO & ALTEN KEPLER.




ALTEN Romania is part of the ALTEN Group, an IT and Engineering Consulting leader. We develop innovative and durable technical solutions that fulfill the needs of our local and international partners.




Key Responsibilities:




Testing and approving all ETL processes/DB scripts/critical reports before deployment in production
Building testing scripts/simulations according to design documents
Creating detailed functional software test plans
Troubleshooting and identifying the root cause of identified issues
Working closely with QA & development teams in both RO & IL
Working in Agile methodology




Required Technical Skills:




Experience in writing SQL queries & scripts
Experience in DWH testing – data quality tests, testing scripts, STD documents, reading and analyzing product & dev documents
Experience in SSIS (SQL Server Integration Services) – an advantage
Experience working with Snowflake – an advantage
Experience working in Agile methodology - an advantage.
Highly motivated and independent.
Good English communication skills







*Only eligible candidates will be contacted in a maximum of 2 weeks. Any information provided is treated as confidential."
"
            
        Backend Developer (Data team)
      
          ",https://si.linkedin.com/jobs/view/backend-developer-data-team-at-infomediji-d-o-o-3711072757?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=anSpsQbfGvhy7YAIBp2%2Bnw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Infomediji d.o.o.
          ","
            Ljubljana, Ljubljana, Slovenia
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      3 days ago
  
          ","🥽 DeoVR is a leading VR video streaming platform embracing cutting-edge technologies such as 8K streaming, computer vision, data labeling, machine learning, depth maps, interactive haptics devices and many others.




🚀 We believe in self-management and you can focus on what you enjoy doing most.




The Job




We are welcoming a new driven colleague to join our web development team and help us build various websites and web applications in the segment of a global VR video streaming ecosystem.




Your Responsibilities




Contribute to machine learning ecosystem, deploy and scale applications
Recommendation system core development




Your Profile




Proficient with Python, FastAPI, MongoDB, Docker. Experience with PHP
Ability to write clear and maintainable code
You have experience in developing web applications
Familiarity with RabbitMQ / Kafka or similar message brokers
Linux / Unix




Bonus Points




Basic knowledge of Machine Learning
Familiarity with Kubernetes




We are always looking for the talented and passionate candidates, so if you think you would be a good fit even if you don’t meet all the listed requirements we would love to hear from you!




What We Offer




Long-term career opportunity in a high-tech global company
Flexible work hours and self-driven projects
Flat organisation promoting open communication
Option to work remotely or relocate to Ljubljana, Slovenia or Lisbon, Portugal
Exposure to the technologies that are transforming the tech sector
Remote and in-person gatherings, conferences, and a fun work atmosphere
Collaboration with diverse international teams
Opportunities for advancement and additional education




We are looking forward to getting to know you! 🔥"
"
            
        Data Software Engineer Greece
      
          ",https://gr.linkedin.com/jobs/view/data-software-engineer-greece-at-mindwave-3707331685?refId=XP9OU%2B77QYm3ahGs6o8siA%3D%3D&trackingId=mbPIfe%2BIUMLrwPsA8d%2FhZA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            MindWave 
          ","
            Greece
          ","
         Be an early applicant
      ","
            

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 days ago
  
          ","MindWave 🌊 invests in building a strong community of dedicated experts with its consultants and clients. We also aim to be the movement of change that provides a better way of working and growing together.

We believe in a more human way of working. We just choose to do it differently! 🚀

Our client portfolio consists of large companies in FinTech, Pharma, Media and many more.




About the role

MindWave is looking for Big Data Software Engineers to join our talented team of engineers!

The position is for a brand new initiative to overhaul the data management processes in an established enterprise in the FinTech industry.




What you'll be doing

As a senior data engineer/developer, you will be part of a dynamic team where you will be working on data flows interacting with various systems using various protocols. As we are building a data management platform as part of the strategy to enable frictionless transaction, you together with our dynamic team of professionals using up-to-date technologies will be delivering data management features and capabilities managing & delivering data across different business practices internally and externally. You will develop the platform that is based on industry best practices, standards and governance framework that are robust, scalable & performant as well as ensuring high data quality and data integrity.




Qualifications

Professional skills

At least 8+ years’ experience in Software development/data engineer practices/consulting;
University bachelor’s or master’s degree in computer science or related engineering discipline;
Strong communication skills (both written and verbal);
Team player, willing to work in a multicultural environment;
Able to lead, coach and groom junior team members.

Technical skills

Proven experience in data engineering and software development practices;
Solid programming/coding experience in Java Development;
Solid understanding of data engineering & ETL Development ;
Having experience in data API and solid understanding of distributed system is a strong advantage;
Having experience with SQL, PL/SQL in Oracle DB;
Hands-on experience on Denodo, Cloudera or any data management platform is a strong advantage;
Hands-on experience with Apache NiFi, Kafka, Spark, Hadoop is a strong advantage;
Hands-on experience with AWS managed services such as Amazon Kinesis, MSK, Redshift, S3 is a plus;
Experience with CICD development & deployment tools such as Maven, Jenkins, Nexus and Git;
Experience with scripting language, primarily Unix Shell, Perl, Python;
Having expertise in manual & automation testing;
Practical working experience in an Agile development (scrum) context;
Proven experience as a key technical resource leading the development of solutions;
Demonstrated ability to influence and consult (providing options with pros, cons and risks) around all key technical decisions during project delivery;
Knows or wants to learn how to translate business problems into software & technical requirements;
Strong interpersonal skills, customer centric attitude, ability to deal with cultural diversity;
Proven team player and team builder;
Demonstrated aptitude for learning new technologies quickly;
Able to thrive in a fast paced, goals and deadlines driven environment;
Passionate about change & improvement and constantly challenging the status quo.




What we offer

Attractive salary package;
Compensation package that includes private medical and life insurance, meal vouchers, mobile and internet plan;
Homeworking as default!
Be part of an awesome group of people 😎




Equal Opportunities

MindWave is an equal opportunity employer. All aspects of employment, including hiring, promotion, remuneration, or discipline, are based solely on performance, competence, conduct, or business needs."
