,name,keyword,additional_regex,category,subcategory,location,year,funding,website,summary
1019,23andMe,23andme,,Applications - Industry,Life Sciences,United States,2006,$877.69M,https://www.23andme.com/,23andMe is a personal genetics company dedicated to helping individuals understand genetic information through DNA analysis technologies and web-based interactive tools. The company's Personal Genome Service enables individuals to gain deeper insights into ancestry and inherited traits. The vision for 23andMe is to personalize healthcare by making and supporting meaningful discoveries through genetic research.
1409,3Pillar Global,3pillar global,,Data & AI Consulting,Data & AI Consulting,United States,,$22.92M,https://www.3pillarglobal.com/,"3Pillar Global develops software products to help in business growth. The company's software product development services include product strategy development, product design, product development, and product support. The company was founded in 2006 and is based in Fairfax, Virginia."
1400,4Mile,4mile,,Data & AI Consulting,Data & AI Consulting,United States,2017,,https://www.4mile.io/,"4 Mile Analytics is a team of data scientists, statisticians, engineers, and business consultants specializing in delivering services on the Looker platform. The company also deals in data analytics, data engineering, data governance, software engineering, UX design, and project and product management. On January 12th, 2022, 4 Mile Analytics merged with Media.Monks."
629,4Paradigm,4paradigm,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,China,2015,$930M,https://en.4paradigm.com/index.html,"4Paradigm is a provider of artificial intelligence technology and services, helping financial firms to detect fraud, improve efficiency, reduce risk, and market to customers more effectively based on online habits."
263,5X,5x,,Infrastructure,Fully Managed,Singapore,2020,,https://5x.co/,"5x integrates different data technology vendors to create a data platform specific to the business. The company enables other companies to answer business questions without having to worry about building data infrastructure. It was founded in 2020 and is based in Singapore, Singapore."
708,6sense,6sense,,Applications - Enterprise,Marketing,United States,2013,$424M,https://6sense.com/,"6sense's helps revenue teams uncover anonymous buying behavior, prioritize fragmented data to focus on accounts in the market, and engage resistant buying teams with personalized, omni-channel, multi-touch campaigns. 6sense helps revenue teams know everything they need to know about their buyers so they can easily do anything they need to do to generate more opportunities, increase deal size, get into opportunities sooner, compete and win more often."
982,Abacus Insights,abacus insights,,Applications - Industry,Healthcare,United States,2017,$75.7M,https://abacusinsights.com/,"Abacus Insights helps healthcare companies take data from unstandardized formats and bring it together for data science uses. The company was founded in 2017 and is based in Boston, Massachusetts."
490,Abacus.ai,abacus.ai,,Machine Learning & Artificial Intelligence,Enterprise ML Platforms,United States,2019,$90.25M,https://abacus.ai/,"Abacus.AI helps enterprises make better use of AI by empowering developers to build custom models from data sets. It provides deep learning techniques to create custom models or plug and play models on its ML infrastructure. Abacus.AI has support for all aspects of the ML lifecycle including data pipelines, data wrangling, online feature store, model training, hosting, and monitoring drift.
"
770,Abbyy,abbyy,,Applications - Enterprise,Automation & Operations,United States,1989,,https://www.abbyy.com/,"ABBYY is a global provider of AI and language-based technologies. It empowers organizations to gain a complete understanding of their business processes and the content that fuels them with its Digital Intelligence platform.
"
66,Ably,ably,,Infrastructure,Streaming/In-Memory,United Kingdom,2013,$78M,https://ably.com/,"Ably is a realtime data delivery platform that allows users to add realtime messaging and streaming data to applications.
"
